2002.01.11 11:24 B D:\doe\media\images\stamps.jpg <-- ccat /home2/vasur stamps.jpg
2002.01.24 10:43 B D:\doe1\media\images\check.jpg --> lrrc3.plc.upenn.edu d:/kiswahili/doe1/media/images check.jpg
2002.01.24 10:43 B D:\doe1\media\images\checkMe.gif --> lrrc3.plc.upenn.edu d:/kiswahili/doe1/media/images checkMe.gif
2002.01.24 10:44 B D:\doe1\media\images\culturalNote.gif --> lrrc3.plc.upenn.edu d:/kiswahili/doe1/media/images culturalNote.gif
2002.01.24 10:44 B D:\doe1\media\images\empty.gif --> lrrc3.plc.upenn.edu d:/kiswahili/doe1/media/images empty.gif
2002.01.24 10:44 B D:\doe1\media\images\entercourse.gif --> lrrc3.plc.upenn.edu d:/kiswahili/doe1/media/images entercourse.gif
2002.01.24 10:44 B D:\doe1\media\images\entercourse.jpg --> lrrc3.plc.upenn.edu d:/kiswahili/doe1/media/images entercourse.jpg
2002.01.24 10:44 B D:\doe1\media\images\grammarNote.gif --> lrrc3.plc.upenn.edu d:/kiswahili/doe1/media/images grammarNote.gif
2002.01.24 10:44 B D:\doe1\media\images\happy.gif --> lrrc3.plc.upenn.edu d:/kiswahili/doe1/media/images happy.gif
2002.01.24 10:44 B D:\doe1\media\images\happysmall.gif --> lrrc3.plc.upenn.edu d:/kiswahili/doe1/media/images happysmall.gif
2002.01.24 10:44 B D:\doe1\media\images\homePageComposite.gif --> lrrc3.plc.upenn.edu d:/kiswahili/doe1/media/images homePageComposite.gif
2002.01.24 10:44 B D:\doe1\media\images\kikoLogo.gif --> lrrc3.plc.upenn.edu d:/kiswahili/doe1/media/images kikoLogo.gif
2002.01.24 10:44 B D:\doe1\media\images\kweli.gif --> lrrc3.plc.upenn.edu d:/kiswahili/doe1/media/images kweli.gif
2002.01.24 10:44 B D:\doe1\media\images\link.gif --> lrrc3.plc.upenn.edu d:/kiswahili/doe1/media/images link.gif
2002.01.24 10:44 B D:\doe1\media\images\qtControllerInfo.gif --> lrrc3.plc.upenn.edu d:/kiswahili/doe1/media/images qtControllerInfo.gif
2002.01.24 10:44 B D:\doe1\media\images\question.jpg --> lrrc3.plc.upenn.edu d:/kiswahili/doe1/media/images question.jpg
2002.01.24 10:44 B D:\doe1\media\images\sad.gif --> lrrc3.plc.upenn.edu d:/kiswahili/doe1/media/images sad.gif
2002.01.24 10:44 B D:\doe1\media\images\sadsmall.gif --> lrrc3.plc.upenn.edu d:/kiswahili/doe1/media/images sadsmall.gif
2002.01.24 10:44 B D:\doe1\media\images\shim.gif --> lrrc3.plc.upenn.edu d:/kiswahili/doe1/media/images shim.gif
2002.01.24 10:44 B D:\doe1\media\images\si_kweli.gif --> lrrc3.plc.upenn.edu d:/kiswahili/doe1/media/images si_kweli.gif
2002.01.24 10:44 B D:\doe1\media\images\speak.gif --> lrrc3.plc.upenn.edu d:/kiswahili/doe1/media/images speak.gif
2002.01.24 10:44 B D:\doe1\media\images\stamps.jpg --> lrrc3.plc.upenn.edu d:/kiswahili/doe1/media/images stamps.jpg
2002.01.24 10:44 B D:\doe1\media\images\Thumbs.db --> lrrc3.plc.upenn.edu d:/kiswahili/doe1/media/images Thumbs.db
2002.01.24 10:44 B D:\doe1\media\images\time1.gif --> lrrc3.plc.upenn.edu d:/kiswahili/doe1/media/images time1.gif
2002.01.24 10:44 B D:\doe1\media\images\time10.gif --> lrrc3.plc.upenn.edu d:/kiswahili/doe1/media/images time10.gif
2002.01.24 10:44 B D:\doe1\media\images\time11.gif --> lrrc3.plc.upenn.edu d:/kiswahili/doe1/media/images time11.gif
2002.01.24 10:44 B D:\doe1\media\images\time12.gif --> lrrc3.plc.upenn.edu d:/kiswahili/doe1/media/images time12.gif
2002.01.24 10:44 B D:\doe1\media\images\time13.gif --> lrrc3.plc.upenn.edu d:/kiswahili/doe1/media/images time13.gif
2002.01.24 10:44 B D:\doe1\media\images\time14.gif --> lrrc3.plc.upenn.edu d:/kiswahili/doe1/media/images time14.gif
2002.01.24 10:44 B D:\doe1\media\images\time15.gif --> lrrc3.plc.upenn.edu d:/kiswahili/doe1/media/images time15.gif
2002.01.24 10:44 B D:\doe1\media\images\time2.gif --> lrrc3.plc.upenn.edu d:/kiswahili/doe1/media/images time2.gif
2002.01.24 10:44 B D:\doe1\media\images\time3.gif --> lrrc3.plc.upenn.edu d:/kiswahili/doe1/media/images time3.gif
2002.01.24 10:44 B D:\doe1\media\images\time4.gif --> lrrc3.plc.upenn.edu d:/kiswahili/doe1/media/images time4.gif
2002.01.24 10:44 B D:\doe1\media\images\time5.gif --> lrrc3.plc.upenn.edu d:/kiswahili/doe1/media/images time5.gif
2002.01.24 10:44 B D:\doe1\media\images\time6.gif --> lrrc3.plc.upenn.edu d:/kiswahili/doe1/media/images time6.gif
2002.01.24 10:44 B D:\doe1\media\images\time7.gif --> lrrc3.plc.upenn.edu d:/kiswahili/doe1/media/images time7.gif
2002.01.24 10:44 B D:\doe1\media\images\time8.gif --> lrrc3.plc.upenn.edu d:/kiswahili/doe1/media/images time8.gif
2002.01.24 10:44 B D:\doe1\media\images\time9.gif --> lrrc3.plc.upenn.edu d:/kiswahili/doe1/media/images time9.gif
2002.01.24 10:44 B D:\doe1\media\images\u.gif --> lrrc3.plc.upenn.edu d:/kiswahili/doe1/media/images u.gif
2002.01.24 10:44 B D:\doe1\media\images\u03l01b.gif --> lrrc3.plc.upenn.edu d:/kiswahili/doe1/media/images u03l01b.gif
2002.01.24 10:44 B D:\doe1\media\images\u03l01c.gif --> lrrc3.plc.upenn.edu d:/kiswahili/doe1/media/images u03l01c.gif
2002.01.24 10:44 B D:\doe1\media\images\u1.gif --> lrrc3.plc.upenn.edu d:/kiswahili/doe1/media/images u1.gif
2002.01.24 10:44 B D:\doe1\media\images\u1.jpg --> lrrc3.plc.upenn.edu d:/kiswahili/doe1/media/images u1.jpg
2002.01.24 10:44 B D:\doe1\media\images\u10.gif --> lrrc3.plc.upenn.edu d:/kiswahili/doe1/media/images u10.gif
2002.01.24 10:44 B D:\doe1\media\images\u10.jpg --> lrrc3.plc.upenn.edu d:/kiswahili/doe1/media/images u10.jpg
2002.01.24 10:44 B D:\doe1\media\images\u11.gif --> lrrc3.plc.upenn.edu d:/kiswahili/doe1/media/images u11.gif
2002.01.24 10:44 B D:\doe1\media\images\u11.jpg --> lrrc3.plc.upenn.edu d:/kiswahili/doe1/media/images u11.jpg
2002.01.24 10:44 B D:\doe1\media\images\u12.gif --> lrrc3.plc.upenn.edu d:/kiswahili/doe1/media/images u12.gif
2002.01.24 10:44 B D:\doe1\media\images\u12.jpg --> lrrc3.plc.upenn.edu d:/kiswahili/doe1/media/images u12.jpg
2002.01.24 10:44 B D:\doe1\media\images\u1s1l1.jpg --> lrrc3.plc.upenn.edu d:/kiswahili/doe1/media/images u1s1l1.jpg
2002.01.24 10:44 B D:\doe1\media\images\u1s1l1a.jpg --> lrrc3.plc.upenn.edu d:/kiswahili/doe1/media/images u1s1l1a.jpg
2002.01.24 10:44 B D:\doe1\media\images\u1s3l2.jpg --> lrrc3.plc.upenn.edu d:/kiswahili/doe1/media/images u1s3l2.jpg
2002.01.24 10:44 B D:\doe1\media\images\u1s3l2a.jpg --> lrrc3.plc.upenn.edu d:/kiswahili/doe1/media/images u1s3l2a.jpg
2002.01.24 10:44 B D:\doe1\media\images\u1s3l2b.jpg --> lrrc3.plc.upenn.edu d:/kiswahili/doe1/media/images u1s3l2b.jpg
2002.01.24 10:44 B D:\doe1\media\images\u2.gif --> lrrc3.plc.upenn.edu d:/kiswahili/doe1/media/images u2.gif
2002.01.24 10:44 B D:\doe1\media\images\u2.jpg --> lrrc3.plc.upenn.edu d:/kiswahili/doe1/media/images u2.jpg
2002.01.24 10:44 B D:\doe1\media\images\u3.gif --> lrrc3.plc.upenn.edu d:/kiswahili/doe1/media/images u3.gif
2002.01.24 10:44 B D:\doe1\media\images\u3.jpg --> lrrc3.plc.upenn.edu d:/kiswahili/doe1/media/images u3.jpg
2002.01.24 10:44 B D:\doe1\media\images\u4.gif --> lrrc3.plc.upenn.edu d:/kiswahili/doe1/media/images u4.gif
2002.01.24 10:44 B D:\doe1\media\images\u4.jpg --> lrrc3.plc.upenn.edu d:/kiswahili/doe1/media/images u4.jpg
