2001.10.06 04:45 B d:\doe\unit_02\calender.jpg <-- ccat /home2/vasur calender.jpg
2002.01.24 10:44 B D:\doe1\unit_02\calender.jpg --> lrrc3.plc.upenn.edu d:/kiswahili/doe1/unit_02 calender.jpg
2002.01.24 10:44 B D:\doe1\unit_02\calender1.jpg --> lrrc3.plc.upenn.edu d:/kiswahili/doe1/unit_02 calender1.jpg
2002.01.24 10:44 B D:\doe1\unit_02\diagnostic.html --> lrrc3.plc.upenn.edu d:/kiswahili/doe1/unit_02 diagnostic.html
2002.01.24 10:44 B D:\doe1\unit_02\diagnostica.html --> lrrc3.plc.upenn.edu d:/kiswahili/doe1/unit_02 diagnostica.html
2002.01.24 10:44 B D:\doe1\unit_02\glossary.html --> lrrc3.plc.upenn.edu d:/kiswahili/doe1/unit_02 glossary.html
2002.01.24 10:44 B D:\doe1\unit_02\index.html --> lrrc3.plc.upenn.edu d:/kiswahili/doe1/unit_02 index.html
2002.01.24 10:44 B D:\doe1\unit_02\song.html --> lrrc3.plc.upenn.edu d:/kiswahili/doe1/unit_02 song.html
2002.01.24 10:44 B D:\doe1\unit_02\unit2culture.html --> lrrc3.plc.upenn.edu d:/kiswahili/doe1/unit_02 unit2culture.html
2002.01.24 10:44 B D:\doe1\unit_02\unit2grammar.html --> lrrc3.plc.upenn.edu d:/kiswahili/doe1/unit_02 unit2grammar.html
2002.01.24 10:44 B D:\doe1\unit_02\WS_FTP.LOG --> lrrc3.plc.upenn.edu d:/kiswahili/doe1/unit_02 WS_FTP.LOG
2002.01.24 16:24 A D:\doe1\unit_02\unit2grammar.html --> lrrc3.plc.upenn.edu d:/kiswahili/doe1/unit_02 unit2grammar.html
2002.02.14 11:10 A d:\doe1\unit_02\diagnostic.html --> lrrc3.plc.upenn.edu d:/kiswahili/doe1/unit_02 diagnostic.html
2002.02.14 11:10 A d:\doe1\unit_02\diagnostic.html.bak --> lrrc3.plc.upenn.edu d:/kiswahili/doe1/unit_02 diagnostic.html.bak
2002.02.14 11:10 A d:\doe1\unit_02\diagnostica.html --> lrrc3.plc.upenn.edu d:/kiswahili/doe1/unit_02 diagnostica.html
2002.02.14 11:10 A d:\doe1\unit_02\diagnostica.html.bak --> lrrc3.plc.upenn.edu d:/kiswahili/doe1/unit_02 diagnostica.html.bak
2002.02.14 11:10 A d:\doe1\unit_02\glossary.html --> lrrc3.plc.upenn.edu d:/kiswahili/doe1/unit_02 glossary.html
2002.02.14 11:10 A d:\doe1\unit_02\glossary.html.bak --> lrrc3.plc.upenn.edu d:/kiswahili/doe1/unit_02 glossary.html.bak
2002.02.14 11:10 A d:\doe1\unit_02\index.html --> lrrc3.plc.upenn.edu d:/kiswahili/doe1/unit_02 index.html
2002.02.14 11:10 A d:\doe1\unit_02\index.html.bak --> lrrc3.plc.upenn.edu d:/kiswahili/doe1/unit_02 index.html.bak
2002.02.14 11:10 A d:\doe1\unit_02\song.html --> lrrc3.plc.upenn.edu d:/kiswahili/doe1/unit_02 song.html
2002.02.14 11:10 A d:\doe1\unit_02\song.html.bak --> lrrc3.plc.upenn.edu d:/kiswahili/doe1/unit_02 song.html.bak
2002.02.14 11:10 A d:\doe1\unit_02\WS_FTP.LOG --> lrrc3.plc.upenn.edu d:/kiswahili/doe1/unit_02 WS_FTP.LOG
2002.02.19 10:47 A d:\doe1\unit_02\song.html --> lrrc3.plc.upenn.edu d:/kiswahili/doe1/unit_02 song.html
2002.02.20 12:49 A D:\doe1\unit_02\diagnostica.html <-- larrc c:/Documents and Settings/larrc/Desktop diagnostica.html
2002.02.20 12:54 A d:\doe1\unit_02\diagnostica.html --> lrrc3.plc.upenn.edu d:/kiswahili/doe1/scripts diagnostica.html
2002.02.20 12:54 A d:\doe1\unit_02\diagnostica.html --> lrrc3.plc.upenn.edu d:/kiswahili/doe1/unit_02 diagnostica.html
2002.02.20 12:57 A d:\doe1\unit_02\diagnostica.html --> lrrc3.plc.upenn.edu d:/kiswahili/doe1/unit_02 diagnostica.html
2002.03.06 13:28 A d:\doe1\unit_02\index.html --> lrrc3.plc.upenn.edu d:/kiswahili/doe1/unit_02 index.html
2002.03.25 14:35 B d:\doe1\unit_02\calender.jpg --> www.uga.edu /usr/www/africa/public_html/Kiswahili/doe/unit_02 calender.jpg
2002.03.25 14:35 B d:\doe1\unit_02\calender1.jpg --> www.uga.edu /usr/www/africa/public_html/Kiswahili/doe/unit_02 calender1.jpg
2002.03.25 14:35 B d:\doe1\unit_02\diagnostic-old.html --> www.uga.edu /usr/www/africa/public_html/Kiswahili/doe/unit_02 diagnostic-old.html
2002.03.25 14:35 B d:\doe1\unit_02\diagnostic.html --> www.uga.edu /usr/www/africa/public_html/Kiswahili/doe/unit_02 diagnostic.html
2002.03.25 14:35 B d:\doe1\unit_02\diagnostic.html.bak --> www.uga.edu /usr/www/africa/public_html/Kiswahili/doe/unit_02 diagnostic.html.bak
2002.03.25 14:35 B d:\doe1\unit_02\diagnostica.html --> www.uga.edu /usr/www/africa/public_html/Kiswahili/doe/unit_02 diagnostica.html
2002.03.25 14:35 B d:\doe1\unit_02\diagnostica.html.bak --> www.uga.edu /usr/www/africa/public_html/Kiswahili/doe/unit_02 diagnostica.html.bak
2002.03.25 14:35 B d:\doe1\unit_02\glossary.html --> www.uga.edu /usr/www/africa/public_html/Kiswahili/doe/unit_02 glossary.html
2002.03.25 14:35 B d:\doe1\unit_02\glossary.html.bak --> www.uga.edu /usr/www/africa/public_html/Kiswahili/doe/unit_02 glossary.html.bak
2002.03.25 14:35 B d:\doe1\unit_02\index.html --> www.uga.edu /usr/www/africa/public_html/Kiswahili/doe/unit_02 index.html
2002.03.25 14:35 B d:\doe1\unit_02\index.html.bak --> www.uga.edu /usr/www/africa/public_html/Kiswahili/doe/unit_02 index.html.bak
2002.03.25 14:35 B d:\doe1\unit_02\song.html --> www.uga.edu /usr/www/africa/public_html/Kiswahili/doe/unit_02 song.html
