2002.12.02 12:02 A c:\kiko\unit_13\index.html <-- lrrc3 d:/kiswahili/doe/unit_12 index.html
2002.12.02 12:02 A c:\kiko\unit_13\index.html --> lrrc3.plc.upenn.edu d:/kiswahili/doe/unit_13 index.html
2003.09.10 10:30 B c:\kiswahili\unit_13\WS_FTP.LOG <-- lrrc3 d:/kiswahili/doe/unit_13 WS_FTP.LOG
2003.09.10 10:31 B C:\kiswahili\unit_13\diagnostic.html --> www.uga.edu /usr/www/africa/public_html/Kiswahili/doe/unit_13 diagnostic.html
2003.09.10 10:31 B C:\kiswahili\unit_13\glossary.asp --> www.uga.edu /usr/www/africa/public_html/Kiswahili/doe/unit_13 glossary.asp
2003.09.10 10:31 B C:\kiswahili\unit_13\glossary.html --> www.uga.edu /usr/www/africa/public_html/Kiswahili/doe/unit_13 glossary.html
2003.09.10 10:31 B C:\kiswahili\unit_13\index.html --> www.uga.edu /usr/www/africa/public_html/Kiswahili/doe/unit_13 index.html
2003.09.10 10:31 B C:\kiswahili\unit_13\u13c.html --> www.uga.edu /usr/www/africa/public_html/Kiswahili/doe/unit_13 u13c.html
2003.09.10 10:31 B C:\kiswahili\unit_13\u13g.html --> www.uga.edu /usr/www/africa/public_html/Kiswahili/doe/unit_13 u13g.html
2003.09.10 10:31 B C:\kiswahili\unit_13\WS_FTP.LOG --> www.uga.edu /usr/www/africa/public_html/Kiswahili/doe/unit_13 WS_FTP.LOG
2003.09.10 10:34 B C:\kiswahili\unit_13\glossary.html --> www.uga.edu /usr/www/africa/public_html/Kiswahili/doe/unit_13 glossary.html
2003.09.10 10:34 B C:\kiswahili\unit_13\glossary.html.bak --> www.uga.edu /usr/www/africa/public_html/Kiswahili/doe/unit_13 glossary.html.bak
2003.09.10 10:34 B C:\kiswahili\unit_13\index.html --> www.uga.edu /usr/www/africa/public_html/Kiswahili/doe/unit_13 index.html
2003.09.10 10:34 B C:\kiswahili\unit_13\index.html.bak --> www.uga.edu /usr/www/africa/public_html/Kiswahili/doe/unit_13 index.html.bak
2003.09.10 10:34 B C:\kiswahili\unit_13\u13c.html --> www.uga.edu /usr/www/africa/public_html/Kiswahili/doe/unit_13 u13c.html
2003.09.10 10:34 B C:\kiswahili\unit_13\u13c.html.bak --> www.uga.edu /usr/www/africa/public_html/Kiswahili/doe/unit_13 u13c.html.bak
2003.09.10 10:34 B C:\kiswahili\unit_13\u13g.html --> www.uga.edu /usr/www/africa/public_html/Kiswahili/doe/unit_13 u13g.html
2003.09.10 10:34 B C:\kiswahili\unit_13\u13g.html.bak --> www.uga.edu /usr/www/africa/public_html/Kiswahili/doe/unit_13 u13g.html.bak
2003.09.10 10:34 B C:\kiswahili\unit_13\WS_FTP.LOG --> www.uga.edu /usr/www/africa/public_html/Kiswahili/doe/unit_13 WS_FTP.LOG
2003.09.10 10:36 B C:\kiswahili\unit_13\glossary.html --> www.uga.edu /usr/www/africa/public_html/Kiswahili/doe/unit_13 glossary.html
2003.09.10 10:36 B C:\kiswahili\unit_13\glossary.html.bak --> www.uga.edu /usr/www/africa/public_html/Kiswahili/doe/unit_13 glossary.html.bak
2003.09.10 10:36 B C:\kiswahili\unit_13\index.html --> www.uga.edu /usr/www/africa/public_html/Kiswahili/doe/unit_13 index.html
2003.09.10 10:36 B C:\kiswahili\unit_13\u13c.html --> www.uga.edu /usr/www/africa/public_html/Kiswahili/doe/unit_13 u13c.html
2003.09.10 10:36 B C:\kiswahili\unit_13\u13g.html --> www.uga.edu /usr/www/africa/public_html/Kiswahili/doe/unit_13 u13g.html
2003.09.10 10:36 B C:\kiswahili\unit_13\WS_FTP.LOG --> www.uga.edu /usr/www/africa/public_html/Kiswahili/doe/unit_13 WS_FTP.LOG
2003.09.10 10:40 B C:\kiswahili\unit_13\glossary.html --> www.uga.edu /usr/www/africa/public_html/Kiswahili/doe/unit_13 glossary.html
2003.09.10 10:40 B C:\kiswahili\unit_13\glossary.html.bak --> www.uga.edu /usr/www/africa/public_html/Kiswahili/doe/unit_13 glossary.html.bak
2003.09.10 10:40 B C:\kiswahili\unit_13\index.html --> www.uga.edu /usr/www/africa/public_html/Kiswahili/doe/unit_13 index.html
2003.09.10 10:40 B C:\kiswahili\unit_13\u13c.html --> www.uga.edu /usr/www/africa/public_html/Kiswahili/doe/unit_13 u13c.html
2003.09.10 10:40 B C:\kiswahili\unit_13\u13g.html --> www.uga.edu /usr/www/africa/public_html/Kiswahili/doe/unit_13 u13g.html
